match_no,team,gk_total_involvements,gk_line_breaks,gk_distribution_page_no,gk_distribution_values_json,gk_attempts_on_goal_faced,gk_save_pct,gk_attempts_faced_table,gk_total_goal_interventions,gk_save_retain,gk_deflect_retain,gk_save_deflect,gk_save_attempt,gk_no_save_attempt,gk_goal_prevention_page_no
37,Uruguay,39.0,7.0,32,"[""7"", ""21"", ""1"", ""3""]",12.0,50.0,12.0,2.0,2.0,0.0,0.0,1.0,9.0,34
37,Cabo Verde,60.0,16.0,33,"[""16"", ""28"", ""2"", ""5""]",17.0,0.0,17.0,0.0,0.0,0.0,0.0,3.0,14.0,35
38,Spain,40.0,9.0,33,"[""9"", ""28"", ""0"", ""7""]",3.0,100.0,3.0,2.0,2.0,0.0,0.0,0.0,1.0,35
38,Saudi Arabia,65.0,17.0,34,"[""17"", ""34"", ""0"", ""3""]",23.0,62.0,23.0,6.0,1.0,0.0,5.0,5.0,12.0,36
39,Belgium,39.0,12.0,33,"[""12"", ""21"", ""1"", ""6""]",7.0,100.0,7.0,2.0,0.0,1.0,2.0,0.0,4.0,35
39,IR Iran,66.0,24.0,34,"[""24"", ""27"", ""7"", ""3""]",23.0,100.0,23.0,6.0,2.0,1.0,4.0,2.0,14.0,36
40,New Zealand,62.0,18.0,33,"[""18"", ""25"", ""5"", ""4""]",19.0,57.0,19.0,3.0,0.0,2.0,3.0,1.0,13.0,35
40,Egypt,38.0,5.0,34,"[""5"", ""16"", ""1"", ""2""]",11.0,80.0,11.0,4.0,0.0,0.0,4.0,2.0,5.0,36
41,Norway,65.0,30.0,32,"[""30"", ""37"", ""3"", ""5""]",16.0,50.0,16.0,3.0,2.0,0.0,1.0,3.0,10.0,34
41,Senegal,46.0,11.0,33,"[""11"", ""27"", ""2"", ""2""]",13.0,50.0,13.0,5.0,1.0,0.0,4.0,2.0,6.0,35
42,France,17.0,1.0,33,"[""1"", ""10"", ""0"", ""2""]",4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,3.0,35
42,Iraq,71.0,16.0,34,"[""16"", ""41"", ""2"", ""4""]",19.0,40.0,19.0,3.0,1.0,0.0,2.0,3.0,13.0,36
43,Argentina,36.0,9.0,32,"[""9"", ""22"", ""2"", ""2""]",6.0,100.0,6.0,1.0,0.0,0.0,1.0,0.0,5.0,34
43,Austria,42.0,5.0,33,"[""5"", ""27"", ""1"", ""0""]",13.0,50.0,13.0,3.0,0.0,0.0,3.0,5.0,5.0,35
44,Jordan,46.0,16.0,32,"[""16"", ""13"", ""5"", ""4""]",17.0,75.0,17.0,7.0,3.0,0.0,4.0,1.0,9.0,34
44,Algeria,38.0,6.0,33,"[""6"", ""18"", ""0"", ""9""]",8.0,75.0,8.0,3.0,1.0,2.0,1.0,0.0,4.0,35
45,England,27.0,6.0,33,"[""6"", ""23"", ""0"", ""1""]",2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,35
45,Ghana,47.0,17.0,34,"[""17"", ""23"", ""2"", ""1""]",19.0,100.0,19.0,3.0,2.0,0.0,1.0,3.0,13.0,36
46,Panama,36.0,14.0,32,"[""14"", ""23"", ""0"", ""5""]",6.0,100.0,6.0,2.0,0.0,0.0,2.0,0.0,4.0,34
