player_match_id,match_no,team,squad_no,player_name,position_group,offering_summary_v01,offering_summary_v02,offering_summary_v03,offering_made,offering_received,offering_made_received_pct,dist_v01,dist_v02,dist_v03,dist_v04,dist_v05,dist_v06,dist_v07,passes_attempted,passes_completed,pass_completion_pct,dist_v08,dist_v09,dist_v10,dist_v11,dist_v12,offers_v01,offers_v02,offers_v03,total_offers,offers_received,offers_v04,offers_v05,offers_v06,offers_v07,offers_v08,oop_v01,oop_v02,oop_v03,oop_v04,oop_v05,oop_v06,oop_v07,oop_v08,oop_v09,oop_v10,oop_v11,oop_v12,oop_v13,physical_v01,physical_v02,physical_v03,physical_v04,physical_v05,physical_v06,physical_v07,physical_v08,total_distance_m,zone1_0_7_m,zone2_7_15_m,zone3_15_20_m,zone4_20_25_m,zone5_25_plus_m,high_speed_runs_zone3,sprints_zone4_5,top_speed_kmh,physical_v09,oop_v14,dist_v13,dist_v14,offering_summary_v04,offering_summary_v05,offering_summary_v06,offering_summary_v07,dist_v15,dist_v16,dist_v17,dist_v18,dist_v19,dist_v20,dist_v21,dist_v22,offers_v09,offers_v10,offers_v11,offers_v12,offers_v13,offers_v14,oop_v15,oop_v16,oop_v17,oop_v18,oop_v19,oop_v20,oop_v21,physical_v10,physical_v11,physical_v12,physical_v13,physical_v14,physical_v15,physical_v16,physical_v17,physical_v18,physical_v19,dist_v23,dist_v24,dist_v25,dist_v26,dist_v27,dist_v28,dist_v29,dist_v30,dist_v31,dist_v32,dist_v33,dist_v34,dist_v35,dist_v36,dist_v37,dist_v38,dist_v39,dist_v40,dist_v41,dist_v42,dist_v43,dist_v44,dist_v45,dist_v46,dist_v47,dist_v48,dist_v49,dist_v50,dist_v51,dist_v52,dist_v53,dist_v54,dist_v55,dist_v56,dist_v57,dist_v58,dist_v59,dist_v60,dist_v61,dist_v62,dist_v63,dist_v64,dist_v65,dist_v66,dist_v67,dist_v68,dist_v69,dist_v70,dist_v71,dist_v72,dist_v73,dist_v74,dist_v75,dist_v76,dist_v77,dist_v78,dist_v79,dist_v80,dist_v81,dist_v82,dist_v83,dist_v84,dist_v85,dist_v86,dist_v87,dist_v88,dist_v89,dist_v90,dist_v91,dist_v92,dist_v93,dist_v94,dist_v95,dist_v96,dist_v97,dist_v98,dist_v99,dist_v100,dist_v101,offers_v15,offers_v16,offers_v17,offers_v18,offers_v19,offers_v20,offers_v21,offers_v22,offers_v23,offers_v24,offers_v25,offers_v26,offers_v27,offers_v28,offers_v29,offers_v30,offers_v31,offers_v32,offers_v33,offers_v34,offers_v35,offers_v36,offers_v37,offers_v38,offers_v39,offers_v40,offers_v41,offers_v42,offers_v43,offers_v44,offers_v45,offers_v46,offers_v47,offers_v48,offers_v49,offers_v50,offers_v51,oop_v22,oop_v23,oop_v24,oop_v25,oop_v26,oop_v27,oop_v28,oop_v29,oop_v30,oop_v31,oop_v32,oop_v33,oop_v34,oop_v35,oop_v36,oop_v37,oop_v38,oop_v39,oop_v40,oop_v41,oop_v42,oop_v43,oop_v44,oop_v45,oop_v46,oop_v47,oop_v48,oop_v49,oop_v50,oop_v51,oop_v52,oop_v53,oop_v54,oop_v55,oop_v56,oop_v57,oop_v58,oop_v59,oop_v60,oop_v61,oop_v62,oop_v63,oop_v64,oop_v65,oop_v66,oop_v67,oop_v68,oop_v69,oop_v70,oop_v71,oop_v72,oop_v73,oop_v74,oop_v75,oop_v76,oop_v77,dist_v102,dist_v103,dist_v104
M001_mexico_16,1,Mexico,16,Julian QUINONES,FW,54.0,18.0,33.3%,54.0,18.0,33.3,34.0,28.0,82%,1.0,1.0,12,12,34.0,28.0,82.0,100%,4,4.0,5.0,1,54.0,3.0,21.0,54.0,18.0,5.0,5.0,13.0,7.0,18.0,1,38.0,1.0,5.0,20.0,17,1.0,,,,,,,8832.2,3156.1,3649.3,1324.0,534.8,167.9,115.0,42.0,8832.2,3156.1,3649.3,1324.0,534.8,167.9,115.0,42.0,32.9,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_mexico_19,1,Mexico,19,Gilberto MORA,MF,18.0,6.0,33.3%,18.0,6.0,33.3,15.0,15.0,100%,1.0,3.0,2,67%,15.0,15.0,100.0,3,3,,,,18.0,5.0,3.0,18.0,6.0,2.0,2.0,5.0,1.0,6.0,1,1.0,7.0,1.0,3.0,1,1.0,,,,,,,3082.9,1161.6,1053.3,570.0,251.5,46.6,43.0,17.0,3082.9,1161.6,1053.3,570.0,251.5,46.6,43.0,17.0,27.1,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_mexico_23,1,Mexico,23,Jesus GALLARDO,DF,32.0,10.0,31.2%,32.0,10.0,31.2,54.0,46.0,85%,1.0,2.0,10,5,54.0,46.0,85.0,50%,1,1.0,2.0,,32.0,3.0,1.0,32.0,10.0,1.0,9.0,18.0,10.0,,1 / 0,4.0,1.0,2.0,14.0,4,4.0,4.0,2,34,14,8.0,3,9692.5,4195.5,3932.4,1022.4,357.1,185.2,86.0,29.0,9692.5,4195.5,3932.4,1022.4,357.1,185.2,86.0,29.0,30.3,30.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_mexico_24,1,Mexico,24,Luis CHAVEZ,MF,16.0,12.0,75%,16.0,12.0,75.0,28.0,28.0,100%,1.0,8.0,8,100%,28.0,28.0,100.0,1,1,,,,16.0,9.0,3.0,16.0,12.0,4.0,12.0,,,,2 / 1,2.0,3.0,1.0,1.0,1,2.0,1.0,1,2,,,,2876.7,1042.9,1078.7,459.2,249.1,46.8,42.0,16.0,2876.7,1042.9,1078.7,459.2,249.1,46.8,42.0,16.0,27.1,27.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_mexico_25,1,Mexico,25,Roberto ALVARADO,FW,41.0,12.0,29.3%,41.0,12.0,29.3,37.0,33.0,89%,4.0,2.0,11,8,37.0,33.0,89.0,73%,2,2.0,,,41.0,5.0,3.0,41.0,12.0,2.0,1.0,22.0,8.0,12.0,4 / 2,2.0,4.0,7.0,1.0,4,14.0,6.0,5,1,,,,10031.1,3763.0,4293.6,1293.0,499.8,181.7,116.0,43.0,10031.1,3763.0,4293.6,1293.0,499.8,181.7,116.0,43.0,32.2,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_mexico_26,1,Mexico,26,Brian GUTIERREZ,MF,37.0,15.0,40.5%,37.0,15.0,40.5,24.0,21.0,88%,1.0,6.0,5,83%,24.0,21.0,88.0,1,1,4.0,,,37.0,9.0,9.0,37.0,15.0,2.0,3.0,10.0,4.0,15.0,1 / 0,2.0,15.0,1.0,3.0,9,5.0,1.0,,,,,,7486.6,2912.8,2832.4,1110.0,434.6,196.7,106.0,39.0,7486.6,2912.8,2832.4,1110.0,434.6,196.7,106.0,39.0,31.7,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_southafrica_01,1,South Africa,1,Ronwen WILLIAMS,GK,17.0,10.0,58.8%,17.0,10.0,58.8,47.0,35.0,74%,2.0,18.0,9,50%,47.0,35.0,74.0,,,,,,17.0,17.0,10.0,17.0,10.0,,,,,,1,2.0,8.0,1.0,,,,,,,,,,5010.4,3978.6,903.5,110.9,17.4,12.0,1.0,23.6,5010.4,3978.6,903.5,110.9,17.4,12.0,1.0,,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_southafrica_04,1,South Africa,4,Teboho MOKOENA,MF,39.0,18.0,46.2%,39.0,18.0,46.2,43.0,41.0,95%,1.0,2.0,13,11,43.0,41.0,95.0,85%,,,,,39.0,23.0,7.0,39.0,18.0,4.0,3.0,2.0,18.0,,4 / 0,1.0,2.0,7.0,33.0,2,2.0,1.0,1,45,18,4.0,2,9860.8,3407.1,4302.3,1444.8,576.0,130.7,136.0,44.0,9860.8,3407.1,4302.3,1444.8,576.0,130.7,136.0,44.0,31.4,31.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_southafrica_05,1,South Africa,5,Thalente MBATHA,MF,5.0,1.0,20%,5.0,1.0,20.0,6.0,4.0,67%,1.0,1.0,100%,1,6.0,4.0,67.0,1,,,,,5.0,4.0,1.0,5.0,1.0,1.0,,,,,2 / 0,2.0,4.0,22.0,1.0,1,3.0,1.0,1,21,11,1.0,3,3973.8,1384.2,1565.8,635.7,331.5,56.5,59.0,24.0,3973.8,1384.2,1565.8,635.7,331.5,56.5,59.0,24.0,34.4,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M001_southafrica_06,1,South Africa,6,Aubrey MODIBA,DF,19.0,7.0,36.8%,19.0,7.0,36.8,17.0,13.0,76%,2.0,4.0,1,25%,17.0,13.0,76.0,2,2,1.0,,,19.0,2.0,2.0,19.0,7.0,3.0,4.0,8.0,7.0,,5 / 0,1.0,6.0,17.0,3.0,26,13.0,3.0,,,,,,8037.8,3061.5,3308.1,1162.3,459.6,46.2,98.0,39.0,8037.8,3061.5,3308.1,1162.3,459.6,46.2,98.0,39.0,27.8,27.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
